PC1_R	BOOL	1.00		0
PC1_E	BOOL	1.01		0
PC2_R	BOOL	1.02		0
PC2_E	BOOL	1.03		0
PC3_R	BOOL	1.04		0
PC3_E	BOOL	1.05		0
PC4_R	BOOL	1.06		0
PC4_E	BOOL	1.07		0
PC5_R	BOOL	1.08		0
PC5_E	BOOL	1.09		0
PC6_R	BOOL	1.10		0
PC6_E	BOOL	1.11		0
PC7_R	BOOL	1.12		0
PC7_E	BOOL	1.13		0
PC10_R	BOOL	2.00		0
PC10_E	BOOL	2.01		0
PC11_R	BOOL	2.02		0
PC11_E	BOOL	2.03		0
PC12_R	BOOL	2.04		0
PC12_E	BOOL	2.05		0
PC13_R	BOOL	2.06		0
PC13_E	BOOL	2.07		0
PC14_R	BOOL	2.08		0
PC14_E	BOOL	2.09		0
PC9_R	BOOL	2.14		0
PC9_E	BOOL	2.15		0
PC9_A	BOOL	2.00		0
PC9_B	BOOL	2.01		0
PC10_A	BOOL	2.02		0
PC10_B	BOOL	2.03		0
PC11_A	BOOL	2.04		0
PC11_B	BOOL	2.05		0
PC12_A	BOOL	2.06		0
PC12_B	BOOL	2.07		0
PC1_A	BOOL	2.08		0
PC2_A	BOOL	2.09		0
PC3_A	BOOL	2.10		0
PC4_A	BOOL	2.11		0
PC5_A	BOOL	2.12		0
PC6_A	BOOL	2.13		0
PC7_A	BOOL	2.14		0
PC8_A	BOOL	2.15		0
PC13_A	BOOL	4.00		0
PC14_A	BOOL	4.01		0
PC15_A	BOOL	4.02		0
PC16_A	BOOL	4.03		0
PC17_A	BOOL	4.04		0
PC18_A	BOOL	4.05		0
PC19_A	BOOL	4.06		0
PC20_A	BOOL	4.07		0
PC1_A_MOn	BOOL	54.06		0
PC1_A_MOff	BOOL	54.07		0
PC2_A_MOn	BOOL	54.08		0
PC2_A_MOff	BOOL	54.09		0
PC3_A_MOn	BOOL	54.10		0
PC3_A_MOff	BOOL	54.11		0
PC4_A_MOn	BOOL	54.12		0
PC4_A_MOff	BOOL	54.13		0
PC5_A_MOn	BOOL	54.14		0
PC5_A_MOff	BOOL	54.15		0
PC6_A_MOn	BOOL	55.00		0
PC6_A_MOff	BOOL	55.01		0
PC7_A_MOn	BOOL	55.02		0
PC7_A_MOff	BOOL	55.03		0
PC8_A_MOn	BOOL	55.04		0
PC8_A_MOff	BOOL	55.05		0
PC9_A_MOn	BOOL	55.06		0
PC9_A_MOff	BOOL	55.07		0
PC10_A_MOn	BOOL	55.08		0
PC10_A_MOff	BOOL	55.09		0
PC11_A_MOn	BOOL	55.10		0
PC11_A_MOff	BOOL	55.11		0
PC12_A_MOn	BOOL	55.12		0
PC12_A_MOff	BOOL	55.13		0
PC13_A_MOn	BOOL	55.14		0
PC13_A_MOff	BOOL	55.15		0
PC14_A_MOn	BOOL	56.00		0
PC14_A_MOff	BOOL	56.01		0
PC15_A_MOn	BOOL	56.02		0
PC15_A_MOff	BOOL	56.03		0
PC16_A_MOn	BOOL	56.04		0
PC16_A_MOff	BOOL	56.05		0
PC17_A_MOn	BOOL	56.06		0
PC17_A_MOff	BOOL	56.07		0
PC18_A_MOn	BOOL	56.08		0
PC18_A_MOff	BOOL	56.09		0
PC19_A_MOn	BOOL	56.10		0
PC19_A_MOff	BOOL	56.11		0
PC20_A_MOn	BOOL	56.12		0
PC20_A_MOff	BOOL	56.13		0
